Original URL,original_URL,UTM link,Source,Medium,Campaign,Term,Content,Posted in,comment,JSON_entry,slug
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=video&utm_campaign=fusion01&utm_content=desc,yt,video,fusion01,,desc,https://youtu.be/3gDW24QVyA8,"
This is Scene 01. But it’s just the surface.
🧠 https://www.notion.so/200dcf1514f881c5ba42cf0e368c1df6?pvs=21 to see how DaVinci Fusion powers every move — and what’s coming next.

","""yt_video_fusion01_desc"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=video&utm_campaign=fusion01&utm_content=desc""",yt_video_fusion01_desc
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=video&utm_campaign=fusion01&utm_content=comment,yt,video,fusion01,,comment,https://youtu.be/3gDW24QVyA8,"
Bytebot’s scene isn’t just eye candy — it’s a Fusion experiment gone rogue.
🎥 https://www.notion.so/200dcf1514f881c5ba42cf0e368c1df6?pvs=21 to see how we animated it, and what's under the hood.

","""yt_video_fusion01_comment"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=video&utm_campaign=fusion01&utm_content=comment""",yt_video_fusion01_comment
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=profile&utm_campaign=fusion01&utm_content=channel_about,yt,profile,fusion01,,channel_about,,,"""yt_profile_fusion01_channel_about"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=yt&utm_medium=profile&utm_campaign=fusion01&utm_content=channel_about""",yt_profile_fusion01_channel_about
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=tk&utm_medium=video&utm_campaign=fusion01&utm_content=channel_about,tk,video,fusion01,,channel_about,,,"""tk_video_fusion01_channel_about"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=tk&utm_medium=video&utm_campaign=fusion01&utm_content=channel_about""",tk_video_fusion01_channel_about
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=fb_perso&utm_medium=post&utm_campaign=fusion01&utm_content=comment,fb_perso,post,fusion01,,comment,https://youtu.be/3gDW24QVyA8,"
Bytebot’s scene isn’t just eye candy — it’s a Fusion experiment gone rogue.
🎥 https://www.notion.so/200dcf1514f881c5ba42cf0e368c1df6?pvs=21 to see how we animated it, and what's under the hood.

","""fb_perso_post_fusion01_comment"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=fb_perso&utm_medium=post&utm_campaign=fusion01&utm_content=comment""",fb_perso_post_fusion01_comment
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=fb_wuli&utm_medium=post&utm_campaign=fusion01&utm_content=channel_about,fb_wuli,post,fusion01,,channel_about,,,"""fb_wuli_post_fusion01_channel_about"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=fb_wuli&utm_medium=post&utm_campaign=fusion01&utm_content=channel_about""",fb_wuli_post_fusion01_channel_about
https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/,https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=ig&utm_medium=video&utm_campaign=fusion01&utm_content=channel_about,ig,video,fusion01,,channel_about,,,"""ig_video_fusion01_channel_about"": ""https://shop.wuli.rocks/blogs/news/bytebot-fusion-scene-01/?utm_source=ig&utm_medium=video&utm_campaign=fusion01&utm_content=channel_about""",ig_video_fusion01_channel_about
https://example.com/page2/,,Please add a URL,x,,,,,,,"""⚠️ Fill in Source, Campaign & Content"": ""Please add a URL""","⚠️ Fill in Source, Campaign & Content"
https://example.com/page3/,,Please add a URL,lk,post,,hiking+gear,image1,,,"""⚠️ Fill in Source, Campaign & Content"": ""Please add a URL""","⚠️ Fill in Source, Campaign & Content"
https://example.com/page4/,,Please add a URL,lkgroup,,,,,,,"""⚠️ Fill in Source, Campaign & Content"": ""Please add a URL""","⚠️ Fill in Source, Campaign & Content"
https://example.com/page5/,,Please add a URL,google,cpc,,electronics,logo,,,"""⚠️ Fill in Source, Campaign & Content"": ""Please add a URL""","⚠️ Fill in Source, Campaign & Content"
https://example.com/page6/,,Please add a URL,newsletter,,fall_collection,electronics,banner_ad,,,"""newsletter__fall_collection_banner_ad"": ""Please add a URL""",newsletter__fall_collection_banner_ad
https://example.com/page7/,,Please add a URL,fb_perso,post,winter_discounts,hiking+gear,textlink,,,"""fb_perso_post_winter_discounts_textlink"": ""Please add a URL""",fb_perso_post_winter_discounts_textlink
https://example.com/page8/,,Please add a URL,x,post,,camping+gear,,,,"""⚠️ Fill in Source, Campaign & Content"": ""Please add a URL""","⚠️ Fill in Source, Campaign & Content"
,,Please add a URL,tk,email,summer_sale,running+shoes,textlink,,,"""tk_email_summer_sale_textlink"": ""Please add a URL""",tk_email_summer_sale_textlink